"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"1";"Afghanistan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"Albania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.41225123454202;NA;-9.78621173065969;-0.052613243704336;5.99070126123809;4.6833163676773;-5.07268653961277;-6.00525844190892;NA;-9.03194774213368;NA;8.38489035988173;-3.3224360203441;4.52825813820991;5.90895241332639;-4.83550891505212;4.65667491655149
"3";"Algeria";NA;NA;NA;NA;NA;2.73785821285065;NA;NA;NA;NA;NA;NA;NA;-25.7714703344972;NA;NA;NA;NA;-17.6140389720119;NA;NA;NA;NA;NA;28.9710212860441;18.2791403678689;5.05318291260825;1.3356313180368;NA;NA
"4";"American Samoa";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"Andorra";NA;NA;NA;NA;NA;NA;NA;NA;-0.42429135042711;-1.92475742059932;NA;7.76350828052457;-14.5544234070798;-12.7373908180875;-9.85278805622235;-4.7638194163924;-6.57732696382938;3.35558925518457;-2.92638646099567;-6.26084129360463;NA;-4.1553790422116;0.898203998131762;5.59589607096612;7.05652525946708;6.11534991474079;5.09455630825442;7.19264748649055;10.2571861948477;18.0156626930195
"6";"Angola";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0167564161403322;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"Antigua and Barbuda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.35942430633644;6.00881786200019;-4.88231633934898;-6.38247670159988;-7.8540707692791;-10.3508045455788;5.60736450179808;1.356935209361;-7.08964952004925;-8.88761573025362;33.0229967536673;34.0686250279439;-17.6144983415981;-13.7712015229718;1.98066326478968
"8";"Argentina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"Armenia";-11.8962008787517;NA;NA;NA;NA;6.12634618796272;-6.58378834210125;1.62235690638878;3.48475146136366;17.4603395175542;31.6960952982529;18.1294872313519;-3.37250049345181;-17.5685558847692;-12.9758052546213;-8.5210974198705;-4.64599215396212;1.05283451332978;9.61673316319486;-0.154329380921067;13.2242195206044;8.91655936725527;7.01515392719216;-15.8266375870013;-16.5508531661886;-2.89569603590965;-3.37496082998991;-2.92477576682055;-0.296116059866963;-2.51275551130504
"10";"Aruba";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"11";"Australia";-11.1492891733193;NA;-11.9144582348308;NA;NA;NA;NA;NA;NA;NA;-13.5524602343392;NA;NA;NA;NA;NA;NA;-0.923541176237754;-0.984368312771282;0.192731802346839;-0.739589737432002;3.26092315041776;5.05014626864534;-3.17751834705706;7.29824024817501;6.55998986475849;10.6112013650693;12.4657388437525;NA;NA
"12";"Austria";NA;NA;NA;NA;NA;NA;12.2849701956724;8.55422731129341;9.4348923444466;3.61152456907117;6.91185404946823;0.614707267646864;-4.43647326347976;-2.5224003965201;3.23690703640369;1.53429068822793;-2.92809281174133;-3.36244173135629;-5.0188457413239;-5.2659209926463;-2.30873567487576;-5.77736993328233;-6.8572618019332;-6.57852120678401;-1.86865970472011;0.651906095726317;0.6488807228058;0.258458961477395;-0.516740612640523;-0.931531209336085
"13";"Azerbaijan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16.728207232349;1.77568871415767;-22.142770434768;-17.9433405593131;-9.43923377390657;-8.05122668388555;-0.342935615908397;-3.86979544230303;10.7302217246912;5.50892042563762;6.21851145967352;-4.49253655869952;3.46882730744375;1.16215962794473;24.6848809396139;7.80650511115981;3.56313106764314;7.24517403229612;-1.14882163782409;-11.815053421739
