"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"1";"Afghanistan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"Albania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.29740100873507;NA;-4.01580376810975;-3.79976669418435;-14.3650913260536;-13.6811076031162;-17.2980443230579;-26.6886640008986;NA;-38.8992267437205;NA;-23.511495121613;-15.2107459028622;-10.7010011792002;-8.70458311962006;-14.6592556145949;-1.43496768079928
"3";"Algeria";NA;NA;NA;NA;NA;-13.4057987095487;NA;NA;NA;NA;NA;NA;NA;-34.8345136838679;NA;NA;NA;NA;-36.9658758816507;NA;NA;NA;NA;NA;76.162609936813;47.6443523008393;38.6742476181046;50.3976999124903;NA;NA
"4";"American Samoa";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"Andorra";NA;NA;NA;NA;NA;NA;NA;NA;8.99760015807823;6.76883482540824;NA;19.9744960935102;-2.63384677440051;0.348279829465666;4.90854592528736;4.85933570196346;3.36969500430155;11.4672135872774;4.9772635473553;3.34313561884727;NA;5.68058243206255;11.5439731573694;15.7207355596023;16.1506766914988;16.3884088324752;13.7982032890488;16.2365163590866;11.1588979944803;19.6506955662331
"6";"Angola";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58.0872594238594;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"Antigua and Barbuda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.0014535239147;16.6680099648847;-2.83438194324063;-9.55252443585604;-18.037130187856;-15.5077470031082;-13.0210115211213;-3.21436750693219;-9.58840052656801;-12.1633823008152;24.0268955134648;21.8561927964304;-23.8544380978228;-21.2516959746867;-9.55579114316276
"8";"Argentina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"Armenia";77.0995466496371;NA;NA;NA;NA;9.19078675574109;13.7608308095383;16.0506356522609;10.9232769142651;33.788704449296;21.7487375040818;86.6375230748331;8.78320972285824;-10.1017077158931;6.70349097146305;32.4165197883244;12.4691099511513;22.7114992295433;36.4269006410327;11.9528902519856;36.2885085908324;31.5351335722361;39.0142307854422;9.54404668238962;16.5190250530519;42.2851467963027;12.2981706932133;9.04453808818965;35.5127782634027;28.996807888568
"10";"Aruba";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
