"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"1";"Afghanistan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"Albania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8.04230932460937;NA;-23.5220238503247;-20.6539500957707;-22.6172734647377;-20.6293405352881;-26.0253277528197;-30.1228011331425;NA;-33.4488975447025;NA;-18.8235005791492;-28.5004434828761;-22.3535575266565;-19.6216337155536;-24.0514565477942;-7.31773142430635
"3";"Algeria";NA;NA;NA;NA;NA;-11.1433808010443;NA;NA;NA;NA;NA;NA;NA;-37.8753279067676;NA;NA;NA;NA;-26.3084289581051;NA;NA;NA;NA;NA;69.5964443455694;65.8396668679015;56.0193756858057;57.3151709352291;NA;NA
"4";"American Samoa";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"Andorra";NA;NA;NA;NA;NA;NA;NA;NA;28.6040766640038;26.1171697579152;NA;43.1036126263178;15.5341510433644;18.2083084009975;21.7780096370242;24.1297160222859;21.8908103167577;30.3118156146308;21.2649886139992;15.674626922587;NA;19.1376387076961;24.9956960772452;29.3359336632814;31.1589514066958;31.3193188700093;31.7546992455008;33.8468293642762;36.1693328594303;45.5482385331407
"6";"Angola";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72.4957463534975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"Antigua and Barbuda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-71.5397570983449;-58.29334571334;-65.7683995072532;-68.2860681274206;-74.2329491069761;-73.1480942888203;-75.876574806617;-67.3213380570301;-69.1220028913513;-70.0252161809346;-56.4823215445656;-56.4858725764156;-73.5104251179447;-72.5917779843325;-67.6432660398468
"8";"Argentina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"Armenia";197.569487924193;NA;NA;NA;NA;191.410369394417;224.123494834489;254.027959618065;265.081437907719;321.69956314794;392.395071843636;352.896279209747;240.863963157961;175.382231973816;171.423300668063;184.12055762963;173.209675496629;163.939847096368;168.630614051983;150.356434176978;167.132431798811;159.516248756844;152.334897918061;95.9615100762778;96.4689527819749;101.007987070496;95.3418293684344;94.0977982384679;102.382819410021;98.8808873554774
"10";"Aruba";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"11";"Australia";-15.4455158875211;NA;-17.0532228712561;NA;NA;NA;NA;NA;NA;NA;-19.0692203801754;NA;NA;NA;NA;NA;NA;-10.2692158267027;-9.2291705160975;-9.49656402418647;-9.54561596798135;-8.90947589700797;-8.95442228165401;-15.7740366046527;-8.1714270838547;-7.24073165351683;-0.305769622928691;-0.570406125312335;NA;NA
"12";"Austria";NA;NA;NA;NA;NA;NA;-4.16349901757436;-7.16137605940566;-6.59621667614678;-11.7990788477418;-8.29985847160879;-11.9738153446048;-16.8771293758427;-16.2481325946513;-11.7499874308928;-11.9345777873479;-14.7757469346598;-15.3003176151795;-15.7992101634411;-15.4832640173775;-9.8070843030666;-12.5735241816478;-13.538741265437;-14.3973026566197;-11.963122364001;-10.5526039980369;-8.90041421044093;-9.87423930573339;-10.8750208120877;-12.0488631372591
"13";"Azerbaijan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;112.280669867197;86.7466779290888;36.1902546996625;31.3543141610785;43.385238599639;49.5118678717242;69.0186736082469;62.6108087955167;82.6189660639646;74.2743392915355;73.9099391730069;57.6044559299064;74.342754695487;73.2211422494396;116.60730589002;87.7367368280301;86.5346617656776;88.0880703904472;67.9613607220385;46.4202612895926
