"Country";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"1";"Afghanistan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"Albania";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-4.24522754941618;NA;-22.4070925192709;-19.321469134823;-24.4105749497514;-26.6410278752058;-30.7830360534093;-34.0094843382707;NA;-35.2012353667633;NA;-20.3199095336554;-30.0819906683612;-23.3493640590374;-19.2372094535382;-23.0056780638839;-6.41541150441098
"3";"Algeria";NA;NA;NA;NA;NA;4.97325353199929;NA;NA;NA;NA;NA;NA;NA;-36.1128917489491;NA;NA;NA;NA;-31.2219328363009;NA;NA;NA;NA;NA;51.7157154639977;46.6733988139057;35.6794029330755;35.9678708369064;NA;NA
"4";"American Samoa";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"Andorra";NA;NA;NA;NA;NA;NA;NA;NA;37.8429142224485;34.8235058311234;NA;46.5925854582565;12.4678822990387;11.5294452232219;11.8548737776443;14.2708399474298;10.4610729333919;15.824285158605;7.00029567484723;4.06376389275757;NA;6.04822895249419;11.8934609926004;15.8657387531797;16.575101715674;15.5967748765038;12.7593311279526;12.321282250145;11.3941938277133;20.4075935012349
"6";"Angola";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;103.055676276305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"Antigua and Barbuda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-21.8934505122105;-9.33478273075266;-25.4333071461452;-28.7309094490086;-39.0260044870455;-32.1376442350014;-28.9764527717334;-18.4141924325887;-16.1628540597953;-18.8552765424779;15.6055707246406;10.4419688733521;-33.1595542635357;-35.0071341008819;-25.5045415655508
"8";"Argentina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"Armenia";168.041863745546;NA;NA;NA;NA;14.8904213053273;26.7740570328059;32.6040422051612;31.9842465370992;55.8842611225409;106.28695204196;90.400726622144;75.5410341104292;38.7143153914382;61.8037139712078;82.6415016582803;93.0027389508453;122.290833736314;130.628374211607;112.63562164044;128.984076643105;128.089403206325;124.19347706815;73.5825070547877;70.0622914024228;66.8469393668107;59.4123116500604;56.9367489390811;62.4565543224113;61.6081014269738
"10";"Aruba";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"11";"Australia";-17.4872141875191;NA;-18.9919232532306;NA;NA;NA;NA;NA;NA;NA;-18.5686975950774;NA;NA;NA;NA;NA;NA;-7.07241870021918;-6.15688974153816;-5.84217148275639;-5.80381784797454;-3.70558231895173;-2.94338872134193;-10.7363864638391;-2.34679740348879;-1.41123035288705;5.28360382080317;5.78755878191127;NA;NA
"12";"Austria";NA;NA;NA;NA;NA;NA;-15.5762465614523;-18.3882361223749;-18.107042095857;-22.8406403514629;-20.2686429225779;-24.0271785365688;-28.0196059148801;-27.10129696386;-22.7642263354397;-22.9767132536257;-25.7082889043442;-26.1481189528453;-26.6640555484151;-26.5812997538496;-21.8256869823861;-24.0063854683203;-24.8981157006388;-25.7146671817358;-23.2866368751807;-22.3924260800207;-21.7149572241189;-22.3379259557698;-23.355212877978;-24.2627127247019
"13";"Azerbaijan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120.920088527344;83.0678263232945;11.1816938889271;8.99261959598876;19.1009259928733;21.6168040619586;35.0808308886458;30.8708605560617;48.3789778761504;43.2774359646837;44.9744059296103;32.6844938571939;45.7564178641295;47.88044080153;82.4989910343805;63.6087022760932;63.9536499365147;66.8205036990687;50.3018521788884;31.9974864364882
"14";"Bahamas, The";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-11.9459351767857;-36.7096632077267;-32.1678648358581;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";"Bahrain";NA;NA;NA;NA;NA;NA;68.9532434776997;-1.20599793124214;1.36740825275791;8.18241653989774;4.79137012414552;-11.210509530037;-12.3465265376049;-24.8896118363169;-24.2964576497481;-42.4656383359206;-44.5562210907961;-38.5071074499232;-56.1162239565515;-50.2810038183722;-49.026998813862;-44.2951742843051;-44.5132436823308;-56.8861740930485;-45.7957315811359;-41.8672142274226;-46.3062540519297;-52.7317702942939;-58.1817034502117;-41.3314914138737
"16";"Bangladesh";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84.5252431770299;NA;NA;NA;58.1446272445225;NA;NA;NA;NA;69.0909698487496;NA;NA;NA;NA;NA
"17";"Barbados";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";"Belarus";38.1215264754274;NA;NA;NA;NA;66.83279880623;NA;NA;NA;NA;76.1018521758214;88.4743529625167;80.6811048572601;53.2446779885873;61.4747465289934;59.4743673084443;47.8583365589694;50.987796324683;31.5641106931051;18.7121052124479;7.50994842334967;3.10150642222425;3.69297889013302;2.80685356397095;-0.471748480936139;-1.58016212103523;-2.97287493783228;-4.24178385244161;-6.17476948897111;-6.2931447447168
"19";"Belgium";105.03134486673;NA;NA;NA;NA;53.5084579720964;53.1420581001681;51.3398085494553;54.76693962496;52.8267461389209;48.251872636172;52.1499650304931;46.4341747588011;54.7028683038159;49.3024643636795;49.6943542989023;50.29344386171;47.7051174579668;53.8910458331018;56.5028161658489;64.2984733185388;61.514979175969;63.2911870570083;68.701155585511;71.4896126513127;77.1580649868308;81.1986525047451;84.7139522026022;83.6966276127514;81.1164735347739
"20";"Belize";NA;NA;NA;NA;NA;NA;NA;27.2767592800892;NA;NA;-30.5191977139452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";"Benin";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"Bermuda";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-27.6300562036624;-29.1548410002448;-30.5537193415571;-29.7075553965483;-26.600802096424;-30.397844152543;-29.1900214787506;-27.1130809417273;-23.9198570089429;-23.3616926870675;-16.358732857369;-16.5384510393607;-19.7005789699347;-20.4015147824834;-20.8544650962461;-26.3480740768507;-31.3501171670313;-29.6570139465332;-23.3162760869035
"23";"Bhutan";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-18.5846390229819;NA;NA;NA;NA;23.1436727780495;NA;47.9118123795179
"24";"Bolivia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"Bosnia and Herzegovina";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.768195724961;10.9508396742338;16.2716889353819;7.35628198522867;8.73335847951344;15.9039182185986;5.22467705810254;11.5792930259401;9.44949546751706;8.82339508344338;6.65382069854146;8.57186383113786
"26";"Botswana";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40.392015608269;NA;173.991599035862;NA;15.5401036916675;NA;NA
"27";"Brazil";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-31.2659067010717;NA;NA;NA;NA;-30.6837156116029;NA;NA;NA;NA;NA;NA;NA;-5.55342587090539;NA;NA;NA;NA;NA;NA
"28";"British Virgin Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;-4.05416752401754;-6.55881594544326;-7.33731489690339;7.87551376357616;9.45611534550486;-27.0175166169783;-34.2112806878218;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";"Brunei Darussalam";NA;NA;NA;NA;NA;NA;NA;2.66811662580417;-31.8140051143001;NA;-22.2755179451966;-22.3377501714798;-20.581920694099;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";"Bulgaria";NA;NA;NA;NA;NA;-50.5419167652582;-39.5348428784413;-31.8421371293953;-33.4398253199605;-34.0030009921358;-35.3884093407201;-32.3458839182559;-32.0856759203309;-30.6220343182671;-29.4555410400173;-27.4537493659555;-25.8086734274003;-22.6210029335328;-28.8778588995639;-29.401207367521;-23.9713667905238;-17.2434200076148;-9.3071703203262;-4.41219805339749;-6.7859043112309;-1.84696827349543;2.45691212560264;-3.8430839097209;3.81897334149237;NA
"31";"Burkina Faso";NA;NA;NA;NA;NA;NA;-32.4246341535603;-27.7256222270065;-26.9267101425959;-29.2488032148734;-22.1242184776324;-32.34711846921;-30.7759415206084;-14.3876000891227;-28.5435350973487;-32.0035527698115;-34.4674727460406;-31.9323195296793;-27.0502215245525;-26.3631208027748;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"Burundi";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-7.89240460835369;-49.0831585333917;-34.3855293291438;-25.6018252095968;-13.6130778617472;-14.3415477213827;30.7512601774113;-8.6998312515399;17.1517447736757;176.827224253903;NA;44.5860133283646;NA;67.2282835504259;-42.4332545652301;1.13177767681745;41.8938642972456;254.445645579052;159.917728502763
"33";"Cabo Verde";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.81327580290285;-0.319730181539648;-3.81359764891591;-4.63506479682889;-7.0468644688538;-5.96027493052691;-10.2577699906284;-13.8703326431191;NA;-30.1918415567732;-28.2674808575796;NA;-28.7679898335272;NA;NA;NA;NA
"34";"Cambodia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9.12199961431834;-8.39279485109699;4.4683957678553;-1.2964015860284;NA;NA;NA;NA;NA;NA;NA
"35";"Cameroon";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-35.210320964406;-32.8708344293954;-58.8950627084252;-60.9379991857238;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";"Canada";74.1933131398029;NA;NA;NA;NA;137.411845786368;NA;NA;NA;NA;58.8951858430489;NA;NA;NA;NA;NA;NA;49.6184403675689;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"Cayman Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";"Central African Republic";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";"Chad";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";"Channel Islands";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"41";"Chile";25.2245578460429;NA;NA;NA;NA;36.9391724590541;NA;NA;NA;NA;33.9856596124015;50.35225141246;48.8187851912477;46.0291378400033;44.8565705743938;28.5342520259936;40.8180843238828;38.6712217898728;37.0945128081639;33.723580540546;32.9504030687711;31.9521607856115;NA;26.0748229059382;24.0446347505972;18.4137174832251;21.2717599151045;9.91607249927817;11.2410335566825;NA
"42";"China";NA;NA;NA;NA;NA;15.7530401186872;NA;NA;NA;NA;21.8533096381539;9.76773130146914;8.58993508962914;-0.562534341257266;-3.10108116374331;-3.23253223797409;1.54952344072077;4.27026305719387;13.7191515661945;18.3920267298834;24.4325976218423;28.2508572613732;31.1090337095547;34.9301727302969;35.9694096927013;33.774256063784;29.3809758947169;27.7272652045289;NA;NA
"43";"Colombia";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70.6217712627835;45.2382026701826;42.106421817377;20.541399157382;21.8665462633349;-3.94111891627785;22.1262391512977;12.3779909480972;24.1202343121464;25.9715116464386;29.65498148705;17.6767806211866;5.74354014118183;16.9225278807388;14.3281851217173;NA
"44";"Comoros";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"45";"Congo, Dem. Rep.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"46";"Congo, Rep.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
